Topic,number_per_topic,score_,view_,FavCount_,AnsCount_,AccpAnsCount_,CommentCount_
0,430,0.3186046511627907,435.02093023255816,0.24186046511627907,0.8604651162790697,0.3302325581395349,1.3558139534883722
1,305,0.3475409836065574,723.5868852459016,0.12131147540983607,0.9344262295081968,0.3901639344262295,1.2426229508196722
2,292,0.339041095890411,556.75,0.17123287671232876,0.8732876712328768,0.3047945205479452,1.1130136986301369
3,277,0.4657039711191336,269.7906137184116,0.4368231046931408,0.9530685920577617,0.4187725631768953,1.3068592057761732
4,276,0.31521739130434784,488.5869565217391,0.20652173913043478,0.9637681159420289,0.36231884057971014,1.2246376811594204
5,242,0.3181818181818182,477.6694214876033,0.15289256198347106,0.9338842975206612,0.34710743801652894,1.2727272727272727
6,278,0.17625899280575538,602.0827338129496,0.08633093525179857,0.9892086330935251,0.34532374100719426,1.7050359712230216
7,222,0.26576576576576577,546.1306306306307,0.15315315315315314,0.9099099099099099,0.36036036036036034,1.135135135135135
